model,window,mae,rmse,mase
ARIMA,2026-08-05,44.24682682089391,56.28615330080567,2.2498920609232296
ARIMA,2026-08-06,35.48629238203093,41.85982658591696,1.804430582674694
ARIMA,2026-08-07,35.04948769474244,42.43225035872013,1.78221964759267
ARIMA,2026-08-08,43.18256832908887,53.33805870775466,2.195775937722467
ARIMA,2026-08-09,33.448425125601965,40.37461740385716,1.700807753855479
ARIMA,2026-08-10,41.14016167870917,54.14959411150918,2.091922286782324
ARIMA,2026-08-11,35.035281542812484,42.72655636971533,1.7814972837365486
ARIMA,2026-08-12,40.07232899046962,48.31461791015048,2.037624420465502
ARIMA,2026-08-13,35.69064868512387,42.72741584153712,1.8148218278093915
ARIMA,2026-08-14,28.76303262386196,35.445349169980545,1.4625618015605186
SARIMA,2026-08-05,16.136790721230117,23.331569222595785,0.8205342606699901
SARIMA,2026-08-06,20.171838892271094,26.708302820486026,1.0257110721556206
SARIMA,2026-08-07,7.016202383760931,8.869264415315532,0.3567645224583687
SARIMA,2026-08-08,14.854166127693938,21.652989602331186,0.7553145127811034
SARIMA,2026-08-09,15.621947673911606,22.42843545852124,0.7943551791852936
SARIMA,2026-08-10,27.19446305680269,33.9388961079658,1.382802133591155
SARIMA,2026-08-11,11.08225817096911,15.258375784880132,0.5635180298215396
SARIMA,2026-08-12,16.269395383557562,20.851430030550787,0.8272770306819415
SARIMA,2026-08-13,5.879920084250251,7.392941565087291,0.2989860848093789
SARIMA,2026-08-14,10.370169527615412,13.201209634497364,0.5273092731610837
SN Daily,2026-08-05,27.5846875,38.959245362542,1.4026445254598805
SN Daily,2026-08-06,10.772083333333333,13.782841555868176,0.5477460535051419
SN Daily,2026-08-07,11.496458333333331,15.831300648030576,0.5845795549950537
SN Daily,2026-08-08,19.16875,25.12495971182508,0.9747053414112116
SN Daily,2026-08-09,14.238854166666664,20.466540319659547,0.7240267211907551
SN Daily,2026-08-10,33.31510416666667,44.15937879632234,1.6940285611174917
SN Daily,2026-08-11,12.788333333333332,15.38484532340186,0.6502696737005306
SN Daily,2026-08-12,8.149374999999997,11.66823487972081,0.4143848368653663
SN Daily,2026-08-13,6.251666666666668,8.225949096710156,0.3178889021309384
SN Daily,2026-08-14,11.236979166666666,13.843730238887323,0.5713853858533554
SN Weekly,2026-08-05,8.767395833333337,11.135685540096608,0.4458103709953129
SN Weekly,2026-08-06,19.18135416666667,26.044057258606685,0.9753462464558308
SN Weekly,2026-08-07,27.024375,35.33113831871022,1.374153383021825
SN Weekly,2026-08-08,6.282916666666665,8.911398278094932,0.3194779229027205
SN Weekly,2026-08-09,11.85708333333333,15.66068636413594,0.6029168547014203
SN Weekly,2026-08-10,26.265729166666663,33.1278945865804,1.3355772554188587
SN Weekly,2026-08-11,20.03677083333333,29.8466503433593,1.0188430417154155
SN Weekly,2026-08-12,17.696458333333336,23.757070186665835,0.8998412761166457
SN Weekly,2026-08-13,29.390833333333337,31.935777872682756,1.4944846293329868
SN Weekly,2026-08-14,21.055312500000003,25.389683677422678,1.0706345254037042
XGBoost,2026-08-05,23.160808868408207,32.39673057689324,1.1774724019134997
XGBoost,2026-08-06,16.923001120885214,18.5677606235773,0.8603484831038657
XGBoost,2026-08-07,9.470350062052407,13.556503899061694,0.4814631431001874
XGBoost,2026-08-08,12.054418457349144,13.601061785598846,0.6128346006950501
XGBoost,2026-08-09,8.715386115312576,12.82676567466438,0.4430815297128247
XGBoost,2026-08-10,9.773450762430826,13.167691242304508,0.4968724801282672
XGBoost,2026-08-11,12.319096228281657,16.816623627764475,0.6262905543469157
XGBoost,2026-08-12,10.897391551335652,15.213050682422011,0.5540125078293495
XGBoost,2026-08-13,9.727980346679688,11.893782857664332,0.4945608095836547
XGBoost,2026-08-14,12.768352009455365,17.13184339716646,0.6491302697790343
